name,address,rating,price,latitude,longitude,source
Gramercy Tavern,"42 E 20th St, New York, NY 10003, United States",4.6,4.0,40.7384555,-73.98850639999999,google
Boucherie Union Square,"225 Park Ave S, New York, NY 10003, United States",4.7,3.0,40.7372552,-73.9882246,google
Eleven Madison Park,"11 Madison Ave, New York, NY 10010, United States",4.4,4.0,40.7416519,-73.9872353,google
Manhatta,"28 Liberty St 60th floor, New York, NY 10005, United States",4.7,4.0,40.7079974,-74.00888259999999,google
Le Bernardin,"155 W 51st St, New York, NY 10019, United States",4.6,4.0,40.7614218,-73.9817558,google
Lindens,"2 Renwick St, New York, NY 10013, United States",4.8,2.0,40.7245348,-74.0084684,google
Nobu Downtown,"195 Broadway, New York, NY 10007, United States",4.4,4.0,40.7107732,-74.00958039999999,google
The Dutch,"131 Sullivan St, New York, NY 10012, United States",4.3,3.0,40.7265328,-74.0021536,google
Carbone New York,"181 Thompson St, New York, NY 10012, United States",4.3,4.0,40.72798909999999,-74.0002414,google
La Mercerie,"53 Howard St, New York, NY 10013, United States",4.2,3.0,40.72014780000001,-74.0021708,google
Au Cheval,"33 Cortlandt Alley, New York, NY 10013, United States",4.7,3.0,40.7181813,-74.0017436,google
The Modern,"9 W 53rd St, New York, NY 10019, United States",4.6,4.0,40.761081,-73.976753,google
The Tyger,"1 Howard St, New York, NY 10013, United States",4.4,,40.718902,-73.999442,google
Estela,"47 E Houston St 1st floor, New York, NY 10012, United States",4.5,3.0,40.7246861,-73.9947116,google
Le Coucou,"138 Lafayette St, New York, NY 10013, United States",4.5,4.0,40.7191167,-74.0001861,google
Minetta Tavern,"113 MacDougal St, New York, NY 10012, United States",4.5,3.0,40.73003,-74.000666,google
1803 NYC,"82 Reade St, New York, NY 10007, United States",4.5,2.0,40.7154539,-74.00733009999999,google
Thai Villa,"5 E 19th St, New York, NY 10003, United States",4.7,2.0,40.7390045,-73.9906704,google
Jiang Nan NYC,"103 Bowery, New York, NY 10002, United States",4.8,4.0,40.7175581,-73.9949693,google
Eataly,"101 Liberty St, New York, NY 10007, United States",4.2,2.0,40.71027040000001,-74.0117145,google
Sotto Mare,"552 Green St, San Francisco, CA 94133, United States",4.6,2.0,37.7997108,-122.4083444,google
Kokkari Estiatorio,"200 Jackson St, San Francisco, CA 94111, United States",4.7,4.0,37.7970323,-122.3997559,google
Scoma's Restaurant,"1965 Al Scoma Way, San Francisco, CA 94133, United States",4.6,3.0,37.808932,-122.4184329,google
Lazy Bear,"3416 19th St, San Francisco, CA 94110, United States",4.8,4.0,37.7604119,-122.4197156,google
Spruce,"3640 Sacramento St, San Francisco, CA 94118, United States",4.6,3.0,37.78758029999999,-122.4527692,google
Bottega,"1132 Valencia St, San Francisco, CA 94110, United States",4.4,2.0,37.7547152,-122.4211945,google
Ula Seafood & Tapas Bar,"450 Post St, San Francisco, CA 94102, United States",4.2,3.0,37.7883413,-122.4093607,google
ROOFTOP 25,"25 Lusk St, San Francisco, CA 94107, United States",4.3,3.0,37.7784685,-122.3943108,google
Waterbar Restaurant,"399 The Embarcadero, San Francisco, CA 94105, United States",4.5,3.0,37.7904926,-122.3890417,google
Brenda's French Soul Food,"652 Polk St, San Francisco, CA 94102, United States",4.5,2.0,37.7829132,-122.4188995,google
